Revista Espanola de Pedagogia,0034-9461,2174-0909,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,34
International Journal for Educational and Vocational Guidance,1873-0388,1573-1782,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,35
JOURNAL OF PHILOSOPHY OF EDUCATION,0309-8249,1467-9752,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,36
Early Child Development and Care,0300-4430,1476-8275,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,37
HEALTH EDUCATION JOURNAL,0017-8969,1748-8176,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,38
Australasian Journal of Early Childhood,1836-9391,1839-5961,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,39
PHI DELTA KAPPAN,0031-7217,1940-6487,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,40
British Journal of Religious Education,0141-6200,1740-7931,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,41
International Journal of Music Education,0255-7614,1744-795X,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,42
Education as Change,1682-3206,1947-9417,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,43
South African Journal of Education,0256-0100,2076-3433,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,44
EDUCATIONAL GERONTOLOGY,0360-1277,1521-0472,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,45
British Journal of Music Education,0265-0517,1469-2104,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,46
TEACHING SOCIOLOGY,0092-055X,1939-862X,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,47
JOURNAL OF BIOLOGICAL EDUCATION,0021-9266,2157-6009,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,48
JOURNAL OF ECONOMIC EDUCATION,0022-0485,2152-4068,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,49
English in Australia,0046-208X,0155-2147,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,50
International Journal for Lesson and Learning Studies,2046-8253,2016-8261,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,51
International Review of Economics Education,1477-3880,2352-4421,EDUCATION & EDUCATIONAL RESEARCH - SSCI,Q4,52
